TR #:,1
Comp ID:,2
Pr Setpoint:,5.00
Deadband:,0.50

Cal Info
Model:,,Gage #:,,Cal Date:,
Slope:,10846.941,Offset:,-141.782,Units:,kPa
Master Gage:,

Cal Points Taken
kPa,Amps
-10.9000,0.0121
0.0000,0.0131
20.1000,0.0149


Date/Time,# Points,Min. P,Max. P, Ave. P
10/12/2018 12:24:53 PM,9,-141.782,-141.782,-141.782
10/12/2018 12:24:54 PM,10,-141.782,-141.782,-141.782
10/12/2018 12:24:55 PM,11,-141.782,-141.782,-141.782
10/12/2018 12:24:56 PM,12,-141.782,-141.782,-141.782
10/12/2018 12:24:57 PM,13,-141.782,-141.782,-141.782
10/12/2018 12:25:33 PM,0,0.000,0.000,NaN
10/12/2018 12:25:34 PM,1,-141.782,-141.782,-141.782
10/12/2018 12:25:35 PM,2,-141.782,-141.782,-141.782
10/12/2018 12:25:39 PM,0,0.000,0.000,NaN
10/12/2018 12:25:40 PM,1,-141.782,-141.782,-141.782
10/12/2018 12:25:41 PM,2,-141.782,-141.782,-141.782
10/12/2018 12:25:42 PM,3,-141.782,-141.782,-141.782
10/12/2018 12:25:43 PM,4,-141.782,-141.782,-141.782
10/12/2018 12:25:44 PM,5,-141.782,-141.782,-141.782
10/12/2018 12:25:45 PM,6,-141.782,-141.782,-141.782
10/12/2018 12:25:46 PM,7,-141.782,-141.782,-141.782
10/12/2018 12:25:47 PM,8,-141.782,-141.782,-141.782
10/12/2018 12:25:48 PM,9,-141.782,-141.782,-141.782
10/12/2018 12:25:49 PM,10,-141.782,-141.782,-141.782
10/12/2018 12:25:50 PM,11,-141.782,-141.782,-141.782
10/12/2018 12:25:51 PM,12,-141.782,-141.782,-141.782
10/12/2018 12:29:37 PM,0,0.000,0.000,NaN
10/12/2018 12:29:38 PM,1,-141.782,-141.782,-141.782
10/12/2018 12:29:39 PM,2,-141.782,-141.782,-141.782
10/12/2018 12:29:40 PM,3,-141.782,-141.782,-141.782
10/12/2018 12:29:41 PM,4,-141.782,-141.782,-141.782
10/12/2018 12:37:13 PM,0,0.000,0.000,NaN
10/12/2018 12:37:14 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:37:29 PM,0,0.000,0.000,NaN
10/12/2018 12:37:30 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:37:31 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:37:52 PM,0,0.000,0.000,NaN
10/12/2018 12:37:53 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:37:54 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:37:55 PM,3,-145.352,-142.444,-143.898
10/12/2018 12:37:56 PM,4,-145.352,-140.989,-143.171
10/12/2018 12:37:57 PM,5,-145.352,-139.535,-142.444
10/12/2018 12:37:58 PM,6,-145.352,-138.082,-141.717
10/12/2018 12:38:07 PM,0,0.000,0.000,NaN
10/12/2018 12:38:08 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:38:09 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:38:10 PM,3,-145.352,-142.444,-143.898
10/12/2018 12:39:21 PM,0,0.000,0.000,NaN
10/12/2018 12:39:22 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:39:23 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:39:24 PM,3,-145.352,-142.444,-143.898
10/12/2018 12:40:17 PM,0,0.000,0.000,NaN
10/12/2018 12:40:18 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:40:19 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:51:36 PM,0,0.000,0.000,NaN
10/12/2018 12:51:36 PM,1,-145.352,-145.352,-145.352
10/12/2018 12:51:37 PM,2,-145.352,-143.898,-144.625
10/12/2018 12:51:38 PM,3,-145.352,-142.444,-143.898
10/12/2018 12:51:39 PM,4,-145.352,-140.989,-143.171
10/12/2018 12:51:40 PM,5,-145.352,-139.535,-142.444
10/12/2018 12:51:41 PM,6,-145.352,-138.082,-141.717
10/12/2018 12:51:42 PM,7,-145.352,-136.628,-140.990
10/12/2018 12:51:43 PM,8,-145.352,-135.175,-140.263
10/12/2018 12:51:44 PM,9,-145.352,-133.722,-139.536
